candidate_phrase,frequency,source,score,action_code,standard_form
response to,86,Gensim,13.27061834109148,2,
people who,86,Gensim,23.21710211086621,2,
long term,86,Gensim,269.1723396089205,1,long_term
u.s. officials,84,Gensim,13.586543291639725,1,us_official
white house,84,NER,,1,white_house
gold was,83,Gensim,12.270310329741786,3,
for instance,83,Gensim,41.026019369051085,2,
on commodity,83,Gensim,21.61662438215762,3,
n't any,83,Gensim,10.682038410629106,2,
if they,83,Gensim,10.373467414520414,2,
five major,82,Gensim,102.09786165651094,2,
three years,82,Gensim,47.11928542201392,2,
joint venture,82,Gensim,855.8836148648649,1,joint_venture
york london,82,Gensim,68.96274771341463,3,
try to,82,Gensim,12.846752175932592,2,
afternoon price,81,Gensim,273.9989042296734,1,afternoon_price
she says,81,Gensim,23.02304040541685,2,
settlement price,80,Gensim,415.4229797979799,1,settlement_price
and afternoon,80,Gensim,10.391614402141986,2,
on settlement,80,Gensim,47.9949527366087,3,
on morning,80,Gensim,35.432515443133944,2,
morning and,80,Gensim,11.786461972899298,2,
and frankfurt,80,Gensim,19.956623113204493,2,
major dealers,80,Gensim,227.9697070480308,3,
month on,80,Gensim,10.495914117349816,2,
price fixings,80,Gensim,571.2065972222222,1,price_fixing
fixings of,80,Gensim,16.46304240499573,3,
comex based,80,Gensim,509.8794321844781,3,
commodity exchange,80,NER,,1,comex
commodity exchange,80,NER,,1,comex
home markets,79,Gensim,252.23369869258025,1,home_markets
zurich and,79,Gensim,20.148454219098863,2,
mr. rewald,79,Gensim,75.06199901344186,1,mr_rewald
toronto paris,78,Gensim,1871.8802119865948,3,
paris tokyo,78,Gensim,692.4434930519518,3,
tokyo zurich,78,Gensim,1135.2852618642464,3,
markets london,78,Gensim,175.39137578501533,3,
london toronto,78,Gensim,643.7441704636826,3,
their own,77,Gensim,46.749288570154285,2,
kind of,76,Gensim,12.853619362250964,2,
west germany,76,NER,,1,west_germany
because they,75,Gensim,12.013665638883484,2,
i think,75,Gensim,81.73067368839428,2,
first time,75,Gensim,37.10221249915425,2,
to build,75,Gensim,11.787003259062732,2,
dollar denominated,74,Gensim,215.40976373469968,1,dollar_denominated
yen from,74,Gensim,29.40670490490957,3,
say they,74,Gensim,16.066072346044916,2,
real estate,74,Gensim,1025.66345893196,1,real_estate
million ounces,73,Gensim,128.27095516569202,3,
we 've,72,Gensim,103.54110596004716,2,
be used,72,Gensim,20.838990381206724,2,
in response,72,Gensim,13.39231503403059,2,
set up,72,Gensim,73.8188451659785,2,
even if,71,Gensim,28.706368679043745,2,
central bank,71,Gensim,92.54046383185457,1,central_bank
are expected,70,Gensim,14.407393684210524,2,
mr. jackson,70,Gensim,39.297717400092615,1,jesse_jackson
denominated investments,70,Gensim,1542.9996392496394,1,denominated_investments
must be,69,Gensim,28.32425597740189,2,
five years,69,Gensim,57.94685511745151,2,
fact that,69,Gensim,15.627417088888016,2,
four years,68,Gensim,64.25357103001897,2,
chief executive,68,Gensim,323.28818079730485,1,chief_executive
trust co.,67,Gensim,156.92691745518886,1,trust_company
nuclear power,67,Gensim,148.8994729850071,1,nuclear_power
dealers credit,67,Gensim,177.78239687644347,3,
frankfurt comex,67,Gensim,2088.3425470925467,3,
they say,65,Gensim,13.970497692212971,2,
his own,65,Gensim,29.32685022595798,2,
an agreement,65,Gensim,24.045443084692373,3,
stock exchange,64,Gensim,86.33643924568582,1,stock_exchange
be able,64,Gensim,47.04200896643645,2,
york gold,64,Gensim,35.81000036894923,3,
major foreign,64,Gensim,32.24656676351325,3,
san francisco,63,NER,,1,san_francisco
nearest month,63,Gensim,583.6632512616608,2,
an assistant,63,Gensim,59.26154696578688,3,
in january,63,Gensim,11.4898353130449,2,
delivery this,62,Gensim,39.9645720301239,3,
no one,62,Gensim,16.590972827361075,2,
ounce from,62,Gensim,19.969987285726152,3,
third world,61,Gensim,142.4043158350337,1,third_world
n't know,61,Gensim,32.02070197635053,2,
japanese currency,61,Gensim,166.2291591483219,1,japanese_yen
stock market,61,Gensim,59.82090909090909,1,stock_market
britain 's,61,Gensim,12.155127826215455,1,britain
those who,61,Gensim,26.97989486169481,2,
is likely,60,Gensim,12.584057952873303,2,
tried to,60,Gensim,12.197700236730425,2,
willing to,59,Gensim,15.839125116786605,2,
involved in,59,Gensim,10.697432877662497,2,
believe that,59,Gensim,11.311533022937184,2,
traders said,59,Gensim,14.93734772015315,3,
"'s strength",58,Gensim,14.256441554279435,3,
fourth quarter,58,Gensim,650.9068682344159,2,
on friday,58,Gensim,14.07851946940522,2,
we do,58,Gensim,15.003454500400949,2,
official said,58,Gensim,11.187489855243548,3,
you can,58,Gensim,29.665296061025693,2,
york trading,57,Gensim,26.74316601640656,3,
mr. huang,57,Gensim,70.85319793927145,1,mr_huang
mr. dominelli,57,Gensim,75.35181368144742,1,mr_dominelli
stake in,57,Gensim,10.987980437302712,3,
lack of,57,Gensim,12.682640074959671,2,
short term,57,Gensim,397.001508295626,1,short_term
each other,56,Gensim,42.87552381439084,2,
interest rate,56,Gensim,56.24546225501205,1,interest_rate
not only,56,Gensim,19.857334062313612,2,
"'s largest",56,Gensim,12.63338648765856,2,
mr. deng,56,Gensim,55.42705525606469,1,deng_xiaoping
earlier this,56,Gensim,29.131334157401685,3,
will continue,56,Gensim,42.1411547541313,2,
next year,55,Gensim,22.041277612308253,2,
wanted to,55,Gensim,10.216664141081662,2,
to avoid,55,Gensim,13.777016796307093,2,
we can,54,Gensim,14.215030335948253,2,
attempt to,54,Gensim,11.138718079814284,2,
two weeks,54,Gensim,71.42265077107783,2,
refused to,53,Gensim,13.855742606571702,2,
ounce home,53,Gensim,194.47007105123816,3,
mr. chernenko,53,Gensim,48.68886422493526,1,konstantin_chernenko
sources said,53,Gensim,24.774137682205225,2,
senior vice,53,Gensim,178.83679847805408,1,senior_vice_president
n't want,52,Gensim,20.85462575859744,2,
an official,52,Gensim,13.29295255484178,3,
are being,51,Gensim,13.415791689750693,2,
noted that,51,Gensim,23.14930267702276,2,
staff reporters,51,Gensim,217.071942858782,1,staff_reporter
ability to,51,Gensim,13.492588062447847,2,
executive officer,51,Gensim,634.0996313055136,1,chief_executive_officer
even though,51,Gensim,98.63331247881963,2,
he adds,51,Gensim,40.13505916296732,2,
colony 's,51,Gensim,17.53811300639659,3,
tend to,50,Gensim,16.04617250393414,2,
agreement with,50,Gensim,14.345180365099926,3,
designed to,50,Gensim,11.690782824294873,2,
arms control,50,Gensim,361.4666748046875,1,arms_control
year before,50,Gensim,12.785523871699814,2,
el salvador,50,NER,,1,el_salvador
foreign currency,49,Gensim,46.6949868720688,1,foreign_currency
n't think,49,Gensim,18.845057368321022,2,
officials say,49,Gensim,33.015101964486895,3,
recent years,49,Gensim,41.4235476237485,2,
how much,48,Gensim,66.46299297676931,2,
money supply,48,Gensim,227.96720915243316,1,money_supply
aimed at,48,Gensim,80.9574888128455,2,
five year,48,Gensim,17.35975522965319,2,
world wide,48,Gensim,262.4308106102764,2,
demand for,48,Gensim,15.359243569756687,3,
late new,48,Gensim,23.079054433221103,2,
can not,47,Gensim,15.870421584075634,2,
more attractive,47,Gensim,77.03722906074391,2,
to discuss,47,Gensim,12.72996351978775,2,
six months,47,Gensim,170.2388754743015,2,
comment on,47,Gensim,30.16825600586833,2,
trade deficit,47,Gensim,141.43361581920902,1,trade_deficit
joint ventures,47,Gensim,858.5666356011184,1,joint_venture
an average,47,Gensim,28.02001338280917,2,
foreign policy,46,Gensim,39.95679862561277,1,foreign_policy
even more,46,Gensim,11.286038545975396,2,
york yesterday,46,Gensim,24.32209028098315,2,
as part,46,Gensim,11.824801234232416,2,
ready to,46,Gensim,10.805973174146953,2,
a bit,46,Gensim,13.981237245254896,2,
yesterday afternoon,45,Gensim,125.80512565600176,2,
relations with,45,Gensim,20.620627521642053,2,
already has,45,Gensim,15.52719258504172,2,
few years,45,Gensim,44.78542430213129,2,
along with,45,Gensim,28.86887853029888,2,
three year,45,Gensim,10.914232638370567,2,
led by,45,Gensim,23.003819228987684,2,
dollar rose,45,Gensim,29.498084729161206,3,
state owned,44,Gensim,128.50089128344817,1,state_owned
broadcasting cos,44,Gensim,2682.1875,1,broadcasting_companies
away from,44,Gensim,27.23044552249258,2,
interested in,44,Gensim,16.02413813773312,2,
other countries,44,Gensim,27.68309468692626,3,
economic recovery,43,Gensim,250.2716390423573,1,economic_recovery
responsible for,43,Gensim,35.663141020155514,2,
reports that,43,Gensim,10.31653706258623,2,
thousands of,43,Gensim,12.590603499669692,2,
net income,43,Gensim,376.8785796105384,1,net_income
has become,43,Gensim,23.088260278627253,2,
communist party,43,NER,,1,communist_party
trading yesterday,43,Gensim,28.288533507102358,3,
we 'll,43,Gensim,67.17441879207612,2,
japanese yen,43,Gensim,159.1872930990578,1,japanese_yen
looking for,42,Gensim,17.888449522869074,2,
later this,42,Gensim,25.941915177448845,2,
american broadcasting,42,Gensim,212.39365971107543,1,american_broadcasting_companies
owned by,42,Gensim,20.87451001238044,2,
government officials,42,Gensim,15.89977966232304,3,
economic growth,41,Gensim,95.2539265120992,1,economic_growth
than expected,41,Gensim,18.0563893441061,2,
what we,41,Gensim,11.810160622428112,2,
mr. andropov,41,Gensim,43.24339914714645,1,yuri_andropov
i 've,40,Gensim,66.56680655752866,2,
precious metals,40,Gensim,2554.464285714286,1,precious_metals
higher u.s.,40,Gensim,14.425330552371646,3,
saudi arabia,40,NER,,1,saudi_arabia
had expected,40,Gensim,16.347411008978955,2,
hundreds of,40,Gensim,13.36130977796755,2,
same time,40,Gensim,61.00326324767308,2,
past two,40,Gensim,34.29515720254812,2,
weeks ago,39,Gensim,206.12695780357475,2,
all deliveries,39,Gensim,209.69725940089228,3,
assistant vice,39,Gensim,225.9627115905143,1,assistant_vice_president
so called,39,Gensim,47.69837885778122,2,
dollar fell,39,Gensim,40.65087123208024,3,
amounted to,39,Gensim,15.854167020981082,2,
former vice,39,Gensim,84.45071039241444,1,former_vice_president
millions of,39,Gensim,11.94119342442357,2,
reason for,39,Gensim,12.518195653633535,2,
might have,39,Gensim,10.679327383884551,2,
german marks,39,Gensim,259.01894044642034,1,german_mark
by making,39,Gensim,12.320134891947674,2,
an estimated,39,Gensim,31.35030533345665,2,
calls for,39,Gensim,14.79423122702145,2,
cents an,38,Gensim,18.902389980466506,3,
administration officials,38,Gensim,38.213393259376055,3,
indicated that,38,Gensim,18.402471517045704,2,
deal with,38,Gensim,29.476268301357145,2,
national bank,38,Gensim,28.264127514681995,1,national_bank
will remain,38,Gensim,31.47693043616913,2,
holding company,38,Gensim,72.35435825669732,1,holding_company
late last,38,Gensim,31.112529550827425,2,
n't likely,38,Gensim,16.055492955247185,2,
high technology,38,Gensim,93.29187503222148,1,high_technology
news conference,38,Gensim,257.5062849824495,1,news_conference
continues to,38,Gensim,11.3231481442856,2,
next month,37,Gensim,58.30465673923036,2,
pressure on,37,Gensim,17.06487208412754,3,
year ago,37,Gensim,18.756310904459053,2,
to expand,37,Gensim,10.776688694000214,3,
against major,37,Gensim,22.568073034225684,2,
sort of,37,Gensim,12.77132986569366,2,
concern about,37,Gensim,22.785465405674465,3,
no longer,37,Gensim,202.8296216382831,2,
election year,37,Gensim,25.83777522553033,3,
you 're,37,Gensim,65.95965417867436,2,
does not,36,Gensim,22.96680222294279,2,
next week,36,Gensim,55.81682910945597,2,
known as,36,Gensim,19.08618237616722,2,
oil prices,36,Gensim,35.51024280531707,1,oil_price
news agency,36,Gensim,113.36265727115102,1,news_agency
foreign debt,36,Gensim,39.14229738960909,1,foreign_debt
charged with,36,Gensim,29.438659027607407,2,
higher than,36,Gensim,25.91426248459672,2,
may not,36,Gensim,11.173038919269464,2,
years old,36,Gensim,36.432646077569885,2,
natural gas,36,Gensim,1073.627894736842,1,natural_gas
south africa,36,NER,,1,south_africa
british colony,36,Gensim,241.00815217391303,1,british_colony
speculation that,35,Gensim,20.98278724593809,2,
valued at,35,Gensim,83.99882560187905,2,
too much,35,Gensim,46.10227044498106,2,
currencies yesterday,35,Gensim,95.48383040058816,3,
two countries,35,Gensim,23.19092047545093,3,
mr. zhao,35,Gensim,35.11216170067446,1,zhao_ziyang
western europe,35,NER,,1,western_europe
n't expect,35,Gensim,27.055819614163774,2,
to protect,35,Gensim,11.607869470931082,2,
it seems,35,Gensim,13.49445276131493,2,
two months,35,Gensim,24.14659027526347,2,
at home,35,Gensim,11.335481655616894,3,
u.s. currency,34,Gensim,10.449198686709172,1,us_dollar
one third,34,Gensim,26.690821864160235,2,
an analyst,34,Gensim,23.83344823624038,3,
million loan,34,Gensim,18.74928276111425,3,
federal funds,34,Gensim,87.51040978795217,1,federal_funds
democratic presidential,34,Gensim,263.57555248618786,1,democratic_presidential_candidate
an interview,34,Gensim,50.60024394771034,3,
federal court,34,Gensim,79.12818662818663,1,federal_court
dow jones,34,NER,,1,dow_jones
fear that,34,Gensim,10.68498481482145,3,
communist party,34,NER,,1,communist_party
"'ll be",34,Gensim,20.959822066011316,2,
mr. mitterrand,33,Gensim,44.07181675532933,1,francois_mitterrand
credit conditions,33,Gensim,134.60185266356916,1,credit_conditions
mr. kott,33,Gensim,62.34549687339271,1,mr_kott
afternoon on,33,Gensim,11.662678850394858,2,
after all,33,Gensim,10.042514133224032,2,
american broadcasting cos.,33,NER,,1,american_broadcasting_companies
do not,33,Gensim,10.324306514371784,2,
an attempt,33,Gensim,39.69501895897967,3,
public service,33,Gensim,127.39821882951654,1,public_service
past few,33,Gensim,97.19485561756856,2,
south china,33,Gensim,19.47636917157324,1,south_china
have taken,33,Gensim,22.50961477376572,2,
irving trust,33,Gensim,1020.2015503875969,1,irving_trust
analysts say,33,Gensim,51.80347964956083,3,
bishop baldwin,33,NER,,1,bishop_baldwin
an effort,33,Gensim,26.68572703124683,2,
partly because,33,Gensim,130.5781633144817,2,
probably will,32,Gensim,22.18106343400042,2,
be allowed,32,Gensim,29.807583256438217,2,
venture with,32,Gensim,15.2238226624623,3,
prime time,32,Gensim,68.66081573028497,1,prime_time
several years,32,Gensim,31.113510276131635,2,
recent months,32,Gensim,64.7346387034716,2,
yellow rain,32,Gensim,3589.2545454545457,1,yellow_rain
bond market,32,Gensim,87.43508858267717,1,bond_market
last october,32,Gensim,88.94523153942428,3,
be held,32,Gensim,11.7423812828393,2,
central america,32,NER,,1,central_america
china sea,32,Gensim,75.71621564031535,1,china_sea
persian gulf,32,NER,,1,persian_gulf
communist party,32,NER,,1,federal_reserve
on monday,32,Gensim,13.10758709220486,3,
with contracts,32,Gensim,11.12242751595419,3,
high interest,31,Gensim,23.86581184420135,1,high_interest_rate
an hour,31,Gensim,35.527383577744274,3,
on tuesday,31,Gensim,15.777651129505852,3,
saying that,31,Gensim,10.837574287969373,2,
did not,31,Gensim,13.845908570022724,2,
we did,31,Gensim,10.630017931279582,2,
exchange traders,31,Gensim,47.86904602023458,1,exchange_traders
n't disclosed,31,Gensim,41.79928073724432,2,
one day,31,Gensim,12.36558782289423,3,
budget deficit,31,Gensim,169.36703096539162,1,budget_deficit
one thing,31,Gensim,42.36734188499827,2,
his wife,31,Gensim,66.66970618034448,3,
percentage point,31,Gensim,694.8010071474984,1,percentage_point
effect on,31,Gensim,12.888785429737174,3,
human rights,31,Gensim,670.4067398119122,1,human_rights
other major,31,Gensim,11.049913519057457,3,
contracts covering,31,Gensim,662.0532466527358,1,contracts_covering
sources say,30,Gensim,78.12262556036775,2,
deliveries amounted,30,Gensim,4135.432378079437,3,
crude oil,30,Gensim,386.6034498965971,1,crude_oil
talks with,30,Gensim,12.191249379349188,2,
german mark,30,Gensim,249.70780206435944,1,german_mark
nearly $,30,Gensim,10.53089283816708,2,
irving trust co.,30,NER,,1,irving_trust
is scheduled,30,Gensim,10.868050050208764,2,
they want,30,Gensim,14.948432530667878,2,
foreign investment,30,Gensim,29.024110967614448,1,foreign_investment
mr. seaga,30,Gensim,71.32157845449501,1,edward_seaga
many people,30,Gensim,13.93824242116144,3,
other hand,30,Gensim,64.05307012420667,2,
presidential election,30,Gensim,231.85745292592176,1,presidential_election
premier zhao,30,Gensim,1506.4789377289378,1,zhao_ziyang
so many,30,Gensim,13.991374222004495,2,
most important,30,Gensim,58.21955380020101,3,
"'ve got",30,Gensim,279.63199048104707,2,
better than,30,Gensim,36.54049479571574,2,
version of,30,Gensim,11.553012214032092,2,
british pound,30,Gensim,208.8931074766355,1,british_pound
you do,30,Gensim,13.654522304413073,2,
traders had,30,Gensim,18.12563078726658,3,
approved by,30,Gensim,19.21116368800157,2,
walter mondale,30,NER,,1,walter_mondale
fell against,29,Gensim,45.592309246802735,3,
million tons,29,Gensim,39.26661892827306,3,
executive vice,29,Gensim,75.66172243302287,1,executive_vice_president
have become,29,Gensim,14.994758909853248,2,
east germany,29,NER,,1,east_germany
more expensive,29,Gensim,55.57685810810811,3,
closed at,29,Gensim,18.99103883172917,3,
it expects,29,Gensim,13.944267853358763,2,
some analysts,29,Gensim,21.25780372963761,3,
eager to,29,Gensim,12.12377478075024,2,
metric tons,29,Gensim,2177.705460562603,1,metric_tons
accounted for,29,Gensim,38.29095141111434,2,
devoe holbein,29,Gensim,4800.218844984802,1,devoe_holbein
new hampshire,28,NER,,1,new_hampshire
we need,28,Gensim,29.434843322130945,2,
grand gulf,28,NER,,1,grand_gulf
rose against,28,Gensim,26.94952225273062,3,
strong dollar,28,Gensim,32.97088220429077,1,strong_dollar
many traders,28,Gensim,33.10560324085011,3,
international inc.,28,Gensim,32.7471612054491,3,
to tighten,28,Gensim,10.724877690663671,2,
mr. nixon,28,Gensim,37.49477267322023,1,richard_nixon
supposed to,28,Gensim,13.942340997862772,2,
southeast asia,28,NER,,1,southeast_asia
dollar strengthened,28,Gensim,129.2458582408198,3,
foreign companies,28,Gensim,12.793006853506716,1,foreign_companies
german central,28,Gensim,119.74405025634536,1,german_central_bank
carter hawley,28,NER,,1,carter_hawley
attorney general,28,Gensim,304.1292902499799,1,attorney_general
middle east,28,NER,,1,middle_east
to attract,28,Gensim,12.674855452602522,2,
an additional,28,Gensim,26.085298173043785,2,
zhao ziyang,28,NER,,1,zhao_ziyang
her husband,28,Gensim,419.2899490248227,3,
both sides,27,Gensim,325.84541280273703,2,
this summer,27,Gensim,34.893271372238985,3,
soviet leader,27,Gensim,44.94572979148814,1,soviet_leader
gold declined,27,Gensim,70.37754010695187,3,
mr. feldstein,27,Gensim,55.78932359107165,1,martin_feldstein
mr. mueller,27,Gensim,47.81942022091855,1,mr_mueller
so much,27,Gensim,14.90659604307435,2,
changing hands,27,Gensim,1443.048245614035,1,changing_hands
general manager,27,Gensim,159.17513304305757,1,general_manager
impact on,27,Gensim,22.123387737636776,3,
analyst at,27,Gensim,17.40845226241841,3,
n't yet,27,Gensim,10.992950131520596,2,
dozens of,27,Gensim,12.462346078620424,2,
plenty of,27,Gensim,14.308619571749375,2,
would allow,27,Gensim,34.83449795949796,2,
investments look,27,Gensim,317.58204633204633,3,
recent weeks,27,Gensim,95.52146429655436,3,
ounces changing,27,Gensim,1493.9793601651186,3,
world war,27,Gensim,55.68674365109283,1,world_war
gold rose,27,Gensim,31.402052016225245,3,
estimates that,27,Gensim,11.208089648241828,2,
year ended,26,Gensim,25.564491064491065,3,
ronald reagan,26,NER,,1,ronald_reagan
mr. manley,26,Gensim,63.90413429522752,1,michael_manley
nuclear weapons,26,Gensim,136.28646665483166,1,nuclear_weapons
york stock,26,Gensim,20.02932224025974,1,new_york_stock_exchange
retail sales,26,Gensim,294.5147058823529,1,retail_sales
prudential bache,26,Gensim,7429.370967741935,1,prudential_bache
against most,26,Gensim,11.081464053042332,3,
meeting with,26,Gensim,10.240649478653316,3,
new jersey,26,NER,,1,new_jersey
electric co.,26,Gensim,124.02288637587506,3,
high tech,26,Gensim,441.54620398773005,1,high_technology
mr. nakasone,26,Gensim,56.38600084873017,1,yasuhiro_nakasone
showed that,26,Gensim,11.402488332332148,2,
air traffic,26,Gensim,370.7907588279489,1,air_traffic
most major,26,Gensim,12.902115335058769,3,
justice department,26,NER,,1,justice_department
months ago,26,Gensim,70.30235042735043,3,
last fall,26,Gensim,49.00223404255319,3,
questions about,25,Gensim,37.51639129294519,3,
kinds of,25,Gensim,13.508137357945216,2,
houston oil,25,Gensim,139.17724196277496,1,houston_oil
foreign banks,25,Gensim,14.063715558291229,1,foreign_banks
persian gulf,25,Gensim,18.80305978700362,2,
i am,25,Gensim,128.68233729662077,2,
intends to,25,Gensim,14.548529736900289,2,
ought to,25,Gensim,13.470860867500264,2,
among other,25,Gensim,17.41248508230861,2,
suggested that,25,Gensim,16.182803235429375,2,
olympic committee,25,Gensim,192.5753585016096,1,olympic_committee
funds rate,25,Gensim,68.50768333819181,1,federal_funds_rate
cable wireless,25,Gensim,3290.15,1,cable_and_wireless
making dollar,25,Gensim,22.84302902806996,3,
imports from,25,Gensim,10.938725979120951,3,
cruise missiles,25,Gensim,1803.810307017544,1,cruise_missile
take over,25,Gensim,21.373284612261468,1,takeover
you ca,25,Gensim,55.448539696985016,2,
account for,25,Gensim,11.396116491403076,2,
know what,25,Gensim,45.285810634110085,2,
an important,25,Gensim,13.582555674586713,3,
credit special,25,Gensim,57.3491602827237,3,
on wednesday,25,Gensim,11.830688629752286,3,
argue that,25,Gensim,18.757340113793145,2,
gary hart,25,NER,,1,gary_hart
few days,25,Gensim,73.61008568807749,3,
few weeks,25,Gensim,103.2738515623774,3,
nuclear plant,25,Gensim,50.90826099738507,1,nuclear_plant
international monetary,25,Gensim,193.19729888432175,1,international_monetary_fund
higher interest,25,Gensim,31.499006725545105,1,high_interest_rate
air defense,25,Gensim,101.08298258011,1,air_defense
commercial banks,25,Gensim,73.89278174549702,1,commercial_banks
these days,25,Gensim,48.11215909921767,2,
concern over,25,Gensim,32.71421114121653,3,
portion of,25,Gensim,13.007835974317617,2,
can get,24,Gensim,18.045236603805176,2,
belgium standard,24,NER,,1,belgium_standard
his family,24,Gensim,19.79256902228977,3,
foreign trade,24,Gensim,13.926653923612967,1,foreign_trade
been able,24,Gensim,33.84268282119579,2,
insider trading,24,Gensim,208.45955048686145,1,insider_trading
peking ap,24,Gensim,502.83824002574,3,
to promote,24,Gensim,10.797736914105682,2,
'm not,24,Gensim,60.8101653696498,2,
mr. reed,24,Gensim,48.18168855592551,1,john_reed
is seeking,24,Gensim,10.891935874494935,2,
mr. zacharski,24,Gensim,66.71310723128148,1,marian_zacharski
suggest that,24,Gensim,15.078015706856794,2,
concerned about,24,Gensim,48.743723098995694,2,
party leader,24,Gensim,58.187754228216654,1,party_leader
